,username,description,location,following,followers,totaltweets,tweetid,source,tweetdate,tweetlength,likescount,retweetcount,text,hashtags,len_hashtags,city,country,Subjectivity,Polarity,Analysis
0,MomAgainstMedia,Writer/Activist/MAM/Survivor fka Desi Foxx Fighting the Pornification of our Children by Entertainment & Media! Will You Help Me Take Back our Kids Innocence?,"Tampa Bay, FL USA",3054,2056,42554,1336822797360902145,ANDROID,2020-12-09,177,0,1,whole portfolio covid19vaccine free aborted fetuses free aborted fetuses wont anyone answer questions,['COVID19Vaccine'],1,Tampa Bay,USA,0.6666666666666666,0.3333333333333333,Positive
1,MadjaTee,"Gardener, kayaker, hiker, “friend of Mara”, enjoying life in the Finger Lakes, NY (she/her)","New York, USA",336,89,3707,1336822562135945220,APPLE,2020-12-09,186,1,0,made available excited glad part reopen economy get back normal life covid19vaccine justdoit,"['COVID19Vaccine', 'JustDoIt']",2,New York,USA,0.5599999999999999,0.285,Positive
2,ElsaWSOC9,"Reporter @wsoctv
Host @Your704
@Cornell grad (#gobigred)
Born & raised in CT, in love w/the Queen City! Story tip/idea? Elsa.gillis@wsoc-tv.com!","Charlotte, NC",582,3008,8211,1336822293901824009,APPLE,2020-12-09,81,1,2,questions covid19vaccine tune tcoek9euth4b6,['COVID19Vaccine'],1,Charlotte,USA,0.0,0.0,Neutral
5,jendlake,"Theme Lead @uoftmedicine/ PhD student @ihpmeuoft / Lecturer @uoftpharmacy
Interested #collaboration #healthcare #pharmacy.  I talk about food a lot. My opinions","Toronto, ON CANADA",3921,2490,20177,1336821906364837888,ANDROID,2020-12-09,152,2,0,good thread covid covid19vaccine allergies essential topic next year ht tco3wxgyysn9i,"['covid', 'COVID19Vaccine', 'allergies']",3,Toronto,CANADA,0.30000000000000004,0.2333333333333333,Positive
7,EddieMaqbool,,"Secaucus, NJ",27,2,104,1336821674109497351,ANDROID,2020-12-09,232,3,0,f israel getting vaccine uk canada approved still sitting thumb asses wtf american company makes americans dont get covid19 covid19vaccine covid,"['COVID19', 'COVID19Vaccine', 'COVID']",3,Secaucus,USA,0.5,-0.25,Negative
11,JoanneReynard,"IPN LCH and Leeds GP Confed NHS. EX RAF Nurse. was IPC matron Nightingale Yorkshire. NHS Flu champ 18, IPS practitioner 19 & proud Mum, Queen's Nurse 2020 ❤️","Cottingley, England",2344,1387,10105,1336821090794999809,APPLE,2020-12-09,186,31,0,true reynard fashion like back 28 days hopefully protected around 13121 covid19vaccine,['COVID19Vaccine'],1,Cottingley,ENGLAND,0.325,0.175,Positive
15,DrMariamShaikh1,"Press Counselor-Pakistan Mission to the UN.
Communication PhD@Florida State University @FSUCCI @iaem @CDRP_FSU #fulbright; Civil Servant 29th CTP #MoIB","NewYork, United States",851,518,415,1336820434365521921,WEB,2020-12-09,287,7,1,amb munir akram respond questions media around world interested participating interactive amp interesting conversation economic amp social challenges covid19vaccine covid19 well sdgs feel free contact event access details,"['COVID19Vaccine', 'COVIDー19', 'SDGs']",3,NewYork,USA,0.4133333333333333,0.27666666666666667,Positive
17,Lex_Jurgen,"My pronouns are cornhole, cornholing, and cornholio. Check out my latest piece: https://t.co/vHr1o1zEjO","Los Angeles, CA",150,5034,15674,1336820266454851584,WEB,2020-12-09,181,0,0,really couldnt approve covid19vaccine today like everybody busy finishing paperwork planning office holiday party put tomorrow,['COVID19Vaccine'],1,Los Angeles,USA,0.25,0.15000000000000002,Positive
20,nicoslobinsky,"Director, Pacific Region at @CIJAinfo. Zionist, Malbec lover and Poli Sci nerd. 🇮🇱 🇨🇦 Opinions are my own, RTs are not endorsements.","Vancouver, British Columbia",767,1150,11718,1336820101643825152,ANDROID,2020-12-09,88,5,0,covid19vaccine rollout plan bc help way,['COVID19Vaccine'],1,Vancouver,BRITISHCOLUMBIA,0.0,0.0,Neutral
22,MicheleD2020,"Live life with passion and integrity,
creative potter, amateur photographer, love to travel and discover the rare beauty of our unique country Australia.","Corlette NSW 2315, Australia",62,159,6915,1336819984165601280,ANDROID,2020-12-09,285,0,0,uk medical regulator investigating adverse reactions coronavirus vaccine covid19vaccine unitedkingdom truth must shared ill affects covid19 vaccines please consider,"['COVID19Vaccine', 'UnitedKingdom']",2,Corlette NSW 2315,USA,0.5,-0.25,Negative
24,ayyas2022,"A father, awarded physician working hard to fix health care, support peace, public education, fight for middle class and for equality and justice for all.#VA05","Virginia, USA",986,1968,26880,1336819584553406467,APPLE,2020-12-09,169,0,0,great work research scientistspoll showed half americans take coronavirus vaccine covid19vaccine,"['Americans', 'Coronavirus', 'COVID19Vaccine']",3,Virginia,USA,0.4583333333333333,0.3166666666666667,Positive
25,Bailey00988038,A wild flower yet a wall flower born between 4/20 and Earth day.,"Washington, DC",254,24,1467,1336819475006562308,APPLE,2020-12-09,245,0,0,feel like big pharmacy companies treating pandemic way us ussr racing moon space race one first produce best vaccine covid19vaccine covid19 vaccinehungergames vaccine,"['COVID19Vaccine', 'COVID19', 'VaccineHungerGames', 'vaccine']",4,Washington,USA,0.24444444444444446,0.4166666666666667,Positive
26,JanCompassrose7,#CENSUS2020 EX-Enumerator Trying to be the best Buddhist I can be... #BarrCoup making it difficult  #Resistance #BLM Retired OCD too much time on Twitter,"Colorado, USA",3056,1655,9436,1336819411504812034,ANDROID,2020-12-09,296,0,0,put covid19vaccine plan sun dont shine pack sorry arse amp potus regime propaganda amp get azar splains trump gets credit amp deals vaccinations grifter turds amp thieves sad,"['COVID19Vaccine', 'potus', 'Trump', 'vaccinations', 'Grifter', 'Turds', 'Thieves']",7,Colorado,USA,0.7000000000000001,-0.3666666666666667,Negative
30,Becca_Rausch,"Mom, spouse, State Senator re-elected to @MA_Senate. Donate at https://t.co/eP8oyw2AMU. Official biz @BeccaRauschMA. #MApoli #BackBecca #SenatorMommy","Norfolk, Bristol and Middlesex",970,1876,2705,1336819284438347776,WEB,2020-12-09,294,4,1,covidvaccination critical promise excuse stop increasing spread covid19 save lives prevent pain trauma read full statement mapoli covid19vaccine covidvaccine publichealth,"['COVIDvaccination', 'COVID19', 'MApoli', 'COVID19Vaccine', 'CovidVaccine', 'publichealth']",6,Norfolk,BRISTOLANDMIDDLESEX,0.46666666666666673,0.09999999999999999,Positive
31,GregorCraigie,"Early morning man, losing sleep for @cbcontheisland since 2007.","Victoria, BC",1481,11081,13504,1336819251479339008,APPLE,2020-12-09,140,5,0,priority given residents staff longterm care homes healthcare workers covid19vaccine bcpoli,"['COVID19Vaccine', 'bcpoli']",2,Victoria,BC,0.0,0.0,Neutral
32,MicheleD2020,"Live life with passion and integrity,
creative potter, amateur photographer, love to travel and discover the rare beauty of our unique country Australia.","Corlette NSW 2315, Australia",62,159,6915,1336819190209019909,ANDROID,2020-12-09,217,0,0,uk medical regulator investigating adverse reactions coronavirus vaccine covid19vaccine unitedkingdom,"['COVID19Vaccine', 'UnitedKingdom']",2,Corlette NSW 2315,USA,0.0,0.0,Neutral
33,jacques_hyzagi,New York Observer,"Manhattan, NY",0,493,2778,1336819135880294400,APPLE,2020-12-09,266,1,1,axis evil eu uk us vetoing india south africa request suspend intellectual property rights poor countries access covid19vaccine big pharma make billions profits vaccine entirely subsidized taxpayer dollars,['COVID19Vaccine'],1,Manhattan,USA,0.545,-0.22000000000000003,Negative
34,BeccaRauschMA,"Mom, spouse, @MA_Senate member for Norfolk-Bristol-Middlesex Dist. RT≠endorsement. She/her. Campaign things @becca_rausch. #MApoli #TodayInTheDome #SenatorMommy","Massachusetts, USA",1160,2387,4297,1336819112882958338,WEB,2020-12-09,294,3,2,covidvaccination critical promise excuse stop increasing spread covid19 save lives prevent pain trauma read full statement mapoli covid19vaccine covidvaccine publichealth,"['COVIDvaccination', 'COVID19', 'MApoli', 'COVID19Vaccine', 'CovidVaccine', 'publichealth']",6,Massachusetts,USA,0.46666666666666673,0.09999999999999999,Positive
